id,url,statut,categorie,nb_signalements,date,email,pseudonyme,url_arnaque,contenu,commentaire,themes
361934,https://www.signal-arnaques.com/scam/view/361934,ARNAQUE SUSPECTÉE !!!,Autres arnaques,3,21/05/2021,order-update@amazon.fr,,,"Malheureusement, Chronopost a rencontré un problème lors de la tentative de livraison. Une nouvelle tentative est prévue. Vous pouvez contacter Chronopost pour plus d'informations. Suivre votre livraison Velway Housse Barbecue, Housse Bâche de... ORETECH Coque Compatible avec iPhone Se 2016 5... Tapis de sol BBQ - Tapis résistant à la... Sweetnight - Protège Matelas Alèse Imperméable... Sweetnight - Protège Matelas Alèse Imperméable... Commande n° 405-1070322-5872344. Veuillez noter que ce message vous a été envoyé depuis une adresse ne pouvant recevoir d'e-mails. Merci de ne pas y répondre.",Mail reçu alors que rien commandé... suspect,"Chronopost, Amazon, Email"
885158,https://www.signal-arnaques.com/scam/view/885158,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,05/11/2025,contact@primes-accords.fr,Amazon,,"Bonjour, Nous vous remercions de votre commande. Votre abonnement a bien été enregistré. Il sera activé prochainement, et vous serez notifié par e-mail dès sa mise en service. Toute révocation effectuée avant activation, sous 5 jours, entraîne l’absence de tout prélèvement. Cliquez sur le bouton ci-dessous pour effectuer cette démarche ou consulter les informations relatives à votre commande. Accéder à mon espace Détails de votre souscription : • Prime Vidéo • Music Prime • Livraison Prioritaire 24 h Durée de l’abonnement : 48 mois Date d’activation : Lundi 10 Novembre Adresse e-mail d’activation : amandine.salome@laposte.net Montant total : EUR400,00","Accéder à mon espace Détails de votre souscription : • Prime Vidéo • Music Prime • Livraison Prioritaire 24 h Durée de l’abonnement : 48 mois Date d’activation : Lundi 10 Novembre Adresse e-mail d’activation : amandine.salome@laposte.net Montant total : EUR400,00",Amazon
528705,https://www.signal-arnaques.com/scam/view/528705,ARNAQUE SUSPECTÉE !!!,Phishing,11,01/08/2022,account-update@amazon.fr,amazon.fr,,"Logo Image Tentative de connexion Quelqu’un qui connaît votre mot de passe est en train d’essayer de se connecter à votre compte. Quand: Aug 01, 2022 01:34 AM Central Daylight Time Appareil: Smart TV - Amazon Fire TV Edition À proximité: Illinois, United States Veuillez approuver ou refuser. Comment puis-je vérifier que cet e-mail provient d'Amazon ? Les liens dans cet e-mail commenceront par « https://www.amazon.fr ». Vous pouvez toujours copier notre lien ci-dessous et le coller dans un navigateur pour l'afficher. https://www.amazon.fr/a/c/r/x2Bo0yXALisRkdqF2tho3Thiv","je n'ai rien commandé sur Amazon et je doute du caractère licite du lien ""Veuillez approuver ou refuser.""",Amazon
884505,https://www.signal-arnaques.com/scam/view/884505,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,02/11/2025,contact@primes-contract.fr,Amazon,,"Bonjour, Nous vous remercions de votre commande. Votre abonnement a bien été enregistré. Il sera activé prochainement, et vous serez notifié par e-mail dès sa mise en service. Toute révocation effectuée avant activation, sous 5 jours, entraîne l’absence de tout prélèvement. Cliquez sur le bouton ci-dessous pour effectuer cette démarche ou consulter les informations relatives à votre commande. Consulter ma commande Détails de votre souscription : • Prime Vidéo • Music Prime • Livraison Prioritaire 24 h Durée de l’abonnement : 48 mois Date d’activation : Vendredi 07 Novembre Adresse e-mail d’activation : sylvie.c92@laposte.net Montant total : EUR400,00","J'ai bien un compte chez Amazon mais en m'y rendant aucune commande de la sorte n'a été faite, ce que je savais déjà.",Amazon
910512,https://www.signal-arnaques.com/scam/view/910512,ARNAQUE SUSPECTÉE !!!,Arnaques financières,10,12/03/2026,no-reply@safesendreturns.com,Service Client,,"Confirmation de souscription de l'offre de ""Prime Video "" amazon pour la commande de Prime family pour 269,90 €. Avec mes coordonnées bancaires...",Avec une signe de amazon.,Amazon
827816,https://www.signal-arnaques.com/scam/view/827816,ARNAQUE SUSPECTÉE !!!,Arnaques financières,6,27/02/2025,noreply@beget-uk.net,Amazon Prim,,"Bienvenue parmis les membre Amazon Prime Family Sabrina CHRISTOPHE, Votre demande d’adhésion Amazon Prime Family (Multi utilisateur) 480 € l’année a bien été prise en compte pour le foyer 295 ROUTE DE CLISSON 44230 ST SEBASTIEN SUR LOIRE ! Votre paiement est en cours de traitement.",re je reviens vers vous pour la suite du mail que j'ai reçu ce matin ou il était question d'un prélèvement de 480 euros a venir sur mon compte ce 2ème mail le confirme ainsi que le renouvellement de l'abonnement,Amazon
639744,https://www.signal-arnaques.com/scam/view/639744,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,28/04/2023,,Amazon,,Prélèvement frauduleux par Amazon,"15 prélèvements réalisés sur mon compte bancaire par Amazon alors que je n'ai effectué aucun achat, pas fourni de RIB ni d'autorisation de prélèvement SEPA. Montant 900 euros.","Abonnement, Amazon"
207604,https://www.signal-arnaques.com/scam/view/207604,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,15/02/2020,prime@amazon.fr,,,Rappel : pensez à mettre à jour votre moyen de paiment pour réactiver votre adhésion Amazon Prime,Je ne suis pas adhérent Amazon Prime,Amazon
878885,https://www.signal-arnaques.com/scam/view/878885,ARNAQUE SUSPECTÉE !!!,Arnaques site annonce,1,06/10/2025,noreply@services-primes.online,Amazon,,"Confirmation de commande Commande n° 136-54685001-35160854 Bonjour, Votre demande « Multimédia » a été confirmée et transmise pour traitement immédiat. Vous bénéficiez d’un délai de cinq jours avant facturation pour annuler ou modifier votre demande, conformément à nos conditions. Pour toute action, utilisez le bouton ci-dessous afin d’accéder directement à votre espace client. Date d’activation : Samedi 11 Octobre 2025 Mode de livraison : Activation en ligne Suivre ma commande Votre commande sera activée sur : elodieboutouyrie@sfr.fr Montant total : 400,00 EUR Résumé de votre commande Produit Pack Divertissement Multi-Media Activation en ligne – Licence 48 mois 400,00 EUR Nous espérons vous revoir très bientôt sur Amazon.fr. La réception de votre commande a bien été enregistrée. Vous recevrez un nouvel email une fois l’activation effectuée. Merci de ne pas répondre à ce message automatique, aucune réponse ne pourra être traitée.",Aucune commande passée,Amazon
852817,https://www.signal-arnaques.com/scam/view/852817,ARNAQUE SUSPECTÉE !!!,Arnaques site annonce,1,21/06/2025,a-m@ekebaci.info,De: 𝕒𝕞𝕒𝕫𝕠𝕟 FR,,"Corps du mail qui vous demande de transmettre vos coordonnées Le relevé mensuel de votre compte 𝕒𝕞𝕒𝕫𝕠𝕟 indique un article gratuit non livré. Celui-ci aurait normalement expiré le 31 août 2022. En raison de la situation actuellement difficile en France, nous avons décidé de vous inclure Patrick dans notre campagne d'automne.",Quand vous cliquez vous voyez ensuite que cela vous dirige vers un site lien asiatique,Email
