id,url,statut,categorie,nb_signalements,date,email,pseudonyme,url_arnaque,contenu,commentaire,themes
891712,https://www.signal-arnaques.com/scam/view/891712,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,07/12/2025,service@cdisccount.com,cdisccount,,"Commande par annonce sur Facebook d'appliques murales sur le site ""cdiscount.com"" , payée par carte bancaire = 49,99 € le 23/11/25 débitée le 25/11/2025 affichée comme étant en transit le 24/11/25 non reçue au 7/12/25 impossible de contacter le site, ou d'envoyer de mail , s'affiche : ""le site est inaccessible"" Le site CDISCOUNT contacté par téléphone ne trouve ni mon nom ni ma commande donc j'ai commandé sur un faux site?","Commande par annonce sur internet d'appliques murales sur le site cdiscount.com , payée par carte bancaire = 49,99 € le 23/11/25 débitée le 25/11/2025 affichée comme étant en transit le 24:11:25 non reçue au 7/12/25 impossible de contacter le site, ou d'envoyer de mail , s'affiche : ""le site est inaccessible"" Le site CDISCOUNT contacté par téléphone ne trouve ni mon nom ni ma commande donc j'ai commandé sur un faux site? Que dois-je faire? Date d'expérience : 23 novembre 2025","Facebook, Cdiscount"
40187,https://www.signal-arnaques.com/scam/view/40187,ARNAQUE SUSPECTÉE !!!,Phishing,2,24/10/2016,news@news2.cdiscount.com,Credit Agricole,http://www.webserviceat.eu/rondrt00983,Nous venons de désactiver votre carte de crédit !,E mail fraudeuleux,"Crédit Agricole, Email, Cdiscount"
569502,https://www.signal-arnaques.com/scam/view/569502,ARNAQUE SUSPECTÉE !!!,Autres arnaques,3,18/11/2022,ksoftware@outlook.fr,K-Software chez CDiscount,https://www.cdiscount.com/mpvv-130766-k-software.html#_his_,Vente de Clés Licences Windows à bas prix dans l'irégularité par rapport à Microsoft,"Clés non opérationnelles, pas de contact direct juste par mail, contact sympathique au début puis cela dégénère par la suite (surtout si on n'est pas satisfait, mais que peut-on attendre d'un produit à très très bas prix) K-Software n'a pas de site propre mais des comptes sur des sites de revendeurs comme CDiscout qui pourtant est un site sérieux https://www.cdiscount.com/informatique/logiciels-a-telecharger/microsoft-windows-10-famille-home-64-bits-cl/f-1077604-mic8718469572502.html?idOffre=1975657284#cm_rr=FP:11493796:SW:CAR&sw=60d313a97d8a9e6536b40e9a8a5ad78186b44407b7255defcb245c958f0f84927466ac60c8016b0c6bbe4cdcee068609c0bf93ab1b3f02b0905e297eb194e2184458bb0eb840234abc69c11f3c8e75aa29028d7f23150d6b5d0dff3a688404fefbf78244ce7fc58e8926fd28b2ca694e602de2027da471baf3aae9eac7642ec3 https://www.cdiscount.com/informatique/r-cle+licence.html?cid=search_txt&cm_mmc=TXT!COR!INF!!14938208548!dsa_l9056493_tdsa-1660604183257_a145438814388&gclid=Cj0KCQiA99ybBhD9ARIsALvZavWZQyLk2HPm9s6KiezSqWuLHo1VMWKsAUgzhoverDCoTKX-CeOx6OMaAkhBEALw_wcB#_his_ Il n'y a pas que K-Software qui pratique ce genre de ventes Date d'expérience : 16 novembre 2022","Microsoft, Cdiscount"
534420,https://www.signal-arnaques.com/scam/view/534420,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,17/08/2022,internationalsubpoena@westernunion.com,no-reply.cdiscount@servicenotification.net,,Prélèvement sur mon compte de 403.98 € par C DISCOUNT BORDEAUX CEDE FR Prélèvement sur mon compte DE 250.00 € DE ALEDA TOPENGO LIMOGES FR (15 rue Fizot Lavergne) Prélèvement sur mon compte de 450.00 € paar WESTERN UNION COURBEVOIE FR,Tous ces prélèvements ont été faits alors que mon ordinateur était bloqué le 8 et le 9 AOUT CI-JOINT la liste des prélèvements frauduleux j''ai contacté CDISCOUNT BORDEAUX par mail J'ai envoyé 2 courriers recommandés à ALEDA TOPENDO LIMOGES J'ai contacté WESTERN UNION COURBEVOIE qui a fait une déclaration à la fraude dossier 163 280 938 Je n'ai lamais fait d'achat sur internet ces SOCIETES ma cart n'a pas été volée ni perdue,"Abonnement, Western Union, Cdiscount"
815831,https://www.signal-arnaques.com/scam/view/815831,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,12/01/2025,sandrine311077@orange.fr,,noreply.cdiscount,"Bonjour Nous avons le plaisir de vous annoncer que votre commande n°119774512 a été enregistré. Nous vous confirmons la validation avec succès. ----------------------------- Marchand : CDISCOUNT Montant : 2.580,00 € Méthode : Par ""CARTE"" ---------------------------- Si vous n'êtes pas responsable, contactez la DGCCRF au 0187660933 afin de contester l'opération. Cordialement, Service client DGCCRF Ceci est un email envoyer suite à votre achat en ligne merci de ne pas répondre.",dim. 12/01/2025 21:27 courriel nous sommes clients de cette enseigne (dernier achat fait en aout 2024) notre compte est ouvert à une autre adresse mail que celle où nous avons reçu ce message.,Cdiscount
437550,https://www.signal-arnaques.com/scam/view/437550,ARNAQUE SUSPECTÉE !!!,Arnaques PayPal,2,04/01/2022,scepaypalatos@cdiscount.com,S2S,www.cdiscount.com,"La transaction d’achat de 2.502,99 € du 2 Janvier sur le site de Paypal comportait : • L’adresse de livraison, S2S MONOPRIX REPUBLIQUE à Paris • Un numéro de transaction 81U542129M5584403 • Un numéro de facture Cdiscount 2201022106A20LY • Détail de l’achat 2201022106A20LY • Date de la transaction 02/01/2022 23:38","Le 2 janvier au soir, sur mon Smartphone, PayPal, via Messenger m’indique un achat de 2.502,99 €. J’ai immédiatement ouvert PayPal sur mon PC et j’ai pu constater qu’un achat de ce montant à Cdiscount avait été fait. J’ai immédiatement ouvert un dossier de litige en fournissant un minimum d’informations, dont une copie d’écran de Cdiscount montrant la liste de mes achats les plus récents : Aucun achat après le 10 octobre. 3 JANVIER Appel de MONOPRIX La responsable de la réception des colis a pris en comte cet achat (en indiquant qu’elle avait déjà eu ce type de problème avec Cdiscount) et m’assuré que quand elle verrait ce colis destiné à S2S elle le bloquerait et m’en avertirait. Appel de PayPal Office La conseillère qui m’a pris en charge m’a confirmé que j’avais ouvert un dossier de litige, et m’a assurée que le paiement à Cdiscount serait bloqué (ou suspendu) jusqu’à la fin de leur étude. Ce qui m’a rassuré ! Appel de Cdiscount On tombe sur un automate sans fin qui invite à patienter, j’ai renoncé après trois essais de 10 minutes. Sur le site de Cdiscount, était indiqué un contact service client sur Messenger : j’ai ainsi pu nouer le dialogue avec une conseillère Sarah, après avoir indiqué mes coordonnées et le N° de FACTURE 2201022106A20LY de Cdiscount J’ai interprété ainsi les propos de Cdiscount, 1. L’achat frauduleux a été identifié 2. Cdiscount va intercepter le colis 3. Cdiscount a identifié l’acheteur 4. Cdiscount refuse de me communiquer ses coordonnées 5. Cdiscount me dit de porter plainte FAUT-IL FAIRE UNE ENQUETE DE POLICE ? PayPal qui m’a conseillé d’attendre, ils me préviendront si c’est nécessaire. RELEVE CB Je viens de consulter mon compte CIC, la dépense est maintenant débitée sur mon CB, j’ai alerté la banque.","PayPal, Cdiscount"
298039,https://www.signal-arnaques.com/scam/view/298039,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,29/11/2020,noreply@facturespros.cdiscount.com,,https://cdiscount.orchestrade.net/dematfacture/dematekbill.php#,Facture frauduleuse portant mon vrai numéro de compte client chez CDiscount,J'ai déjà payé un abonnement du même type chez CDsicount.,Cdiscount
806338,https://www.signal-arnaques.com/scam/view/806338,ARNAQUE SUSPECTÉE !!!,Arnaques site annonce,1,30/11/2024,,Cdiscount aera,,"Achat d'une Switch 169,90€ pendant le Black Friday.","J'ai commandé, payé et le produit n'est jamais arrivé ! Et impossible de les joindre.... Date d'expérience : 25 novembre 2024","Black Friday, Cdiscount"
767699,https://www.signal-arnaques.com/scam/view/767699,ARNAQUE SUSPECTÉE !!!,Arnaques financières,2,28/05/2024,msouaidi@esca.ma,ma cdiscount,,Votre paiement a été effectué avec succès Boîte de réception ma cdiscount Pièces jointes17:09 (il y a 57 minutes) À alainhuret A Très bientot … [Message tronqué] Afficher l'intégralité du message 1 pièce jointe • Analyse effectuée par Gmail,c'est évident que je n'ai RIEN ACHETE pièce jointe impossible à télécharger,Cdiscount
40989,https://www.signal-arnaques.com/scam/view/40989,ARNAQUE SUSPECTÉE !!!,Phishing,1,30/10/2016,service-mondial-relay@somenesc.fr,Mondial Relay et Cdiscount,http://patience-colis.net/,"Bonjour, Nous avons le plaisir de vous informer que votre colis (Numéro 19090762) envoyé par CDISCOUNT est disponible dans votre Point Relais®. Vous disposez de 8 jours pour retirer votre colis, passé ce délai il sera retourné à l'expéditeur. Pour plus d'informations sur votre colis et sur les horaires d'ouverture de votre relais, nous vous invitons à visiter notre site Web en cliquant sur le lien ci-dessous : Cliquez sur ce lien pour en savoir plus Votre colis enregistré vous sera remis sur présentation d'une pièce d'identité. Une personne de votre choix peut également retirer votre colis. Cette personne devra impérativement se présenter avec votre pièce d'identité et la sienne. Nous vous remercions de votre confiance et souhaitons avoir prochainement le plaisir de vous servir à nouveau. Cordialement, L'équipe MONDIAL RELAY.","J’ai reçu ce mail de phishing particulier : en fait, je qualifierais cela de tentative de virus via une URL au lieu d’une pièce jointe en mail. Ce mail a pour objet Colis disponible au Point Relais avec les logos de Cdiscount et de Mondial Relay. Comme vous pouvez le voir sur cette capture http://www.imageshotel.org/images/Sandyko/phishingmr.jpg , il s’agit d’un mail utilisant à la fois le nom de Cdiscount et de Mondial Relay sauf que l’adresse mail de l’expéditeur est service-mondial-relay@somenesc.fr et que lorsqu’on survole le fameux lien où on est censé cliqué, c’est l’URL patience-colis.net, URL qui n’a rien à voir avec le site de Mondial Relay. J’ai donc compris que ce n’était pas un mail véritable de Mondial Relay ni de Cdiscount, d’autant plus que je n’attends aucun colis, mais même si j’en attendais un colis, je me serais rendu sur le site officiel de Mondial Relay http://www.mondialrelay.fr/suivi-de-colis et non pas leur lien foireux. J’ai néanmoins cliqué par curiosité, pour voir ce que ça affichait et j’ai découvert qu’un onglet s’ouvre dans mon navigateur et tente de télécharger un fichier (virus) en .pdf.zip. Bien entendu, je ne l’ai pas téléchargé car je sais bien qu’il s’agit d’un fichier vérolé mais je poste ici pour prévenir.","Phishing, Email, Colis, Cdiscount"
110624,https://www.signal-arnaques.com/scam/view/110624,ARNAQUE SUSPECTÉE !!!,Autres arnaques,2,03/05/2018,amiable.c@emt.scp-bocchio.com,Bocchio & Associés Huissiers,,"Mise en demeure, votre dossier Cdiscount. C.Bocchio, J.P.Claveleau, L.Vidard Huissiers de justice associés Recouvrement amiable & judiciaire Mise en demeure votre dossier Cdiscount. Référence : C1802094230 - Nom : XXXXXX - Prénom : XXXXX Monsieur XXXXXX, Nous vous informons par la présente que nous mettrons fin dans dix jours à la recherche d'un accord amiable pour obtenir le règlement des sommes que vous restez devoir à la société Cdiscount.. Dès réception de l'accord formel de notre client, nous envisagerons d'engager une procédure d'injonction de payer. Nous sommes contraints d'avoir recours à cette démarche judiciaire car vous n'avez pas saisi les opportunités de règlement qui vous étaient offertes. Je paye en ligne (un bouton image avec une carte bleue) VOS INFORMATIONS Réf : C1802094230 Nom : XXXXX Prénom : XXXXX Email : XXXXX@XXX.fr Nous sommes mandatés par Cdiscount. pour procéder au recouvrement de ses créances. Vous pouvez encore éviter cette procédure en nous contactant directement par mail par téléphone mon compte par chat Politique de sécurité Qui sommes-nous ? SCP BOCCHIO ET ASSOCIES 185 COURS DU MEDOC CS 20106 33070 BORDEAUX CEDEX tél : 05.56.01.81.92 Membre d'une association agréée par l'administration fiscale, le règlement des honoraires par chèque est accepté. Numéro de déclaration : 8008033. Conformément à la loi informatique et libertés, vous bénéficiez d'un droit d'accès et de rectification aux informations qui vous concernent. Pour exercer ce droit, veuillez envoyer un courrier à l'adresse de l'Etude Se désabonner","L'adresse mail me paraissait bizarre. Je n'ai eu aucun problème avec des paiements sur CDiscount jusqu'à maintenant. Un seul achat en 2018, le paiement est passé, pas de soucis. Pas d'autres achats depuis Mars 2017. De plus, il s'agirait d'une relance alors que je n'ai eu aucun mail précédents celui-ci.","Email, Cdiscount"
637010,https://www.signal-arnaques.com/scam/view/637010,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,23/04/2023,,Drivefile cloud via Cdiscount,,Débit de 59.94€ sur ma CB.,"Voulant acheter un produit sur Cdiscount, j'ai cliqué sur Continuer ça m'a demandé une pré-autorisation à 0€, que j'ai confirmée. Et là surprise sur mon compte, débit sur ma CB de 59.94€. Date d'expérience : 22 avril 2023",Cdiscount
253351,https://www.signal-arnaques.com/scam/view/253351,ARNAQUE SUSPECTÉE !!!,Phishing,1,07/07/2020,confirmation@cdiscount.com,confirmation@cdiscount.com,,"Bonjour, Vous recevez une confirmation de commande Cdiscount d'un montant assez conséquent. Dans ce mail figurent bien vos nom et prénom ainsi que votre adresse de facturation. L'adresse de livraison est à une autre adresse et un autre nom. Peu de lien cliquables dans le mail sauf un en haut de page : ""Annuler ma commande"", qui vous renvoi vers une première page sur laquelle se trouve encore une fois des champs de saisi pré remplis avec vos nom, prénom et adresse de facturation. Une fois validée, une seconde page vous demande de saisir vos informations bancaires pour vérifier la CB sur laquelle ils doivent effectuer le remboursement.","Tout est bien ficelé ! L'arnaque réside sur la personnalisation de la confirmation de commande. Vos informations personnelles (nom, prénom et adresse) sont déjà des informations qui ont été piratées quelque part et servent de support émotionnel à vous entraîner dans l'arnaque au vol d'informations bancaires. Sur mon téléphone portable, impossible de survoler le lien d'annulation qui envoie vers un site étrange où se trouve le phishing. Votre taux de tomber dans le panneau est important. Surtout que l'url est quelque chose du genre cdiscount.com.annulation-me.com Sur ordinateur, vous risquez moins grâce au survol de lien qui reste un indice fiable. Les pages de phishing sont bien faites, propres en plusieurs étapes et sans aucune fautes d'orthographe ni de syntaxe. De parfaites copies. Avant de faire quoi que ce soit, donc, il est important de se connecter à son compte cdiscount si on en a un. Si aucune commande n'a été passée, respirez ! Il n'est pas agréable de savoir que certaines de nos infos personnelles ont déjà été piratées, mais c'est moins pire que donner l'accès à nos comptes bancaires. Bref, faites attention ! Moi qui suis du genre méfiant, lorsque j'ai reçu ce mail avec mes infos perso, un peu affolé, c'est seulement au moment d'arriver sur la dernière page de saisie des infos bancaires que j'ai tilté !",Cdiscount
186645,https://www.signal-arnaques.com/scam/view/186645,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,11/11/2019,no-reply-news@notification-cdiscount.cdiscount.com,,,"mail confirmant une commande: Confirmation de commande Bonjour Madame Roy Marie-Pierre, Nous avons le plaisir de vous annoncer que votre commande est confirmée. Bien sûr, nous vous informerons de son expédition par email. Un grand merci pour la confiance que vous nous accordez. À très bientôt ! L'équipe Cdiscount. Pour garder un oeil sur l'avancée de votre commande, ou pour l'annuler c'est ici : Mon Suivi de commande COMMANDE N°1895018410014FR VENDUE PAR Cdiscount Produit(s) Livraison Date de livraison estimée Qté Prix CONTINENTAL EDISON TV 55' (139,1 cm) 4K Ultra HD (3840x2160) - 3xHDMI (2.0) 2xUSB Port Optique Chez HAMDAN Nasser 60 Rue Chabre 83000 Toulon","Rien commandée et n'habitant pas à Toulon, j'ai répondu au mail en leur disant que je n'avais rien commandée que cela devait être une erreur ! Donc en relisant le mail,je me suis dit que j'allais annuler la commande et je me suis arrêtée, quand ils ont commencé à me demander mes coordonnées bancaires!!! Du coup, j'ai creusé et j'ai été sur mon vrai compte, sur le suivi des commandes et il n'y avait aucun téléviseur. Du coup, je suis repartie sur le mail frauduleux et leur page, et celle ci ne change pas,si on veut faire aller voir autre chose ....","Email, Cdiscount"
800753,https://www.signal-arnaques.com/scam/view/800753,ARNAQUE SUSPECTÉE !!!,Arnaques site annonce,1,04/11/2024,,Shop Cdiscount,www.shopcdicount.com,"X8995 SHOP CDISCO 06132372 22/09 Paiement par carte Débité: Mardi 24 septembre 2024 - 35,99 € ? À catégoriser Pointer l'opération Masquer de l'analyse",J'ai commandé une machine à glaçons que j'ai jamais reçu payé par Apple Play Date d'expérience : 4 novembre 2024,"Cdiscount, Commande non reçue"
849262,https://www.signal-arnaques.com/scam/view/849262,ARNAQUE SUSPECTÉE !!!,Arnaques financières,1,05/06/2025,cdiscount-moneywin@gmail.com,Akkyi.cc,akyyi.cc,,Arnaque de 2000fcfa,Cdiscount
99894,https://www.signal-arnaques.com/scam/view/99894,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,08/02/2018,validation-commandes@cdiscountpro.fr,Cdiscount,,Confirme une commande et demande l'annulation. On doit renseigner des infos personnelles avec nom prénom adresse etc.,Il est vraiment très pro. Au point que j'en ai douté. Ils ont réussi à trouver une ancienne de mes adresses postales! Mais bon le modèle du pc n'existe pas et le fait de devoir à nouveau renseigner les éléments pour une commande qui est sensé t'être livré c'est là où ça pêche. Attention au nom de domaine il est parti prenant de Cdiscount...,Cdiscount
902822,https://www.signal-arnaques.com/scam/view/902822,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,31/01/2026,,WONDERFULL DDD,https://www.cdiscount.com/,"Achat téléphone ZFLIP 4 en juin 2025 (neuf). Ecran tactile mord après 8 mois d'utilisation, je précise que le téléphone n'est pas tombé<; Demande de remboursement difficile, malgré une garantie de 2 ans.","Le vendeur m'a dit : Nous sommes désolés, mais l'écran de votre téléphone semble gravement endommagé. Dans ce cas, il est malheureusement impossible de le réparer gratuitement. Ensuite il accepte un renvoi du téléphone sans plus d'explications, mais il faut que je le dévérouille. Impossible car l'écran tactile ne fonctionne plus. Et je ne souhaite pas renvoyer mon téléphone avec l'ensemble de mes données personnelles. Coût réparation 420 €, coût tél 260 € : je demande donc un remboursement, qui n'avance pas Date d'expérience : 4 juin 2025",Cdiscount
890830,https://www.signal-arnaques.com/scam/view/890830,ARNAQUE SUSPECTÉE !!!,Sites frauduleux,1,02/12/2025,super@carecenterplus.com,Wtoutlet,www.cdiscount.com,"Au départ, je suis sur le site de Cdiscount, mais en réalité pas du tout. Adresse du site frauduleux : Étant obligée de renseigner, j’ai noté le site Cdiscount mais en fait, ce n’était pas Cdiscount. Uniquement une copie de la page de Cdiscount. Je ne sais plus l’adresse. J’ai pensé que j’étais sur la page d’un partenaire de Cdiscount.",J’ai commandé une cafetière pensant être sur le site de Cdiscount. Date d'expérience : 18 novembre 2025,Cdiscount
