id,url,statut,categorie,nb_signalements,date,email,pseudonyme,url_arnaque,contenu,commentaire,themes
62395,https://www.signal-arnaques.com/scam/view/62395,ARNAQUE SUSPECTÉE !!!,Sites frauduleux,2,06/05/2017,legal@vinted.fr,vinted,https://www.vinted.fr/,"application : tu met les affaires de ton dressing en ligne , tu les vends . -Aucune garantie que tu es rembourser si le colis est perdu en route - dés que l'argent de ta vente rentre dans l'onglet "" porte monnaie"" le site bloque ton compte pour une durée de 110 à peu près. -Aucun absolument AUCUN service client -uniquement réponse automatique - pour ceux et celle qui comme moi avais plus de 200e de vente sur leur compte , ils ont peu se les mettre derrière l'oreille et sans explication du site car evidemment pas de numéro de tel. - il vous suffit déjà de taper sur internet ""avis vinted"" vous serz brieffé","-Aucune garantie que tu es rembourser si le colis est perdu en route - dés que l'argent de ta vente rentre dans l'onglet "" porte monnaie"" le site bloque ton compte pour une durée de 110 à peu près. -Aucun absolument AUCUN service client -uniquement réponse automatique - pour ceux et celle qui comme moi avais plus de 200e de vente sur leur compte , ils ont peu se les mettre derrière l'oreille et sans explication du site car evidemment pas de numéro de tel. - il vous suffit déjà de taper sur internet ""avis vinted"" vous serz brieffé","Vinted, Petite Annonce, Colis"
587315,https://www.signal-arnaques.com/scam/view/587315,ARNAQUE SUSPECTÉE !!!,Sites frauduleux,1,31/12/2022,vinted@verification.fr,Regulation.2023,https://regulations-generales-vinted.info/,"Le site demande des informations de carte, rib, Iban, carte identité. En envoyant par Vinted sous peine de menace",Le vendeur se passe pour Vinted sous peine de menace de bloquage Date d'expérience : 31 décembre 2022,"Vinted, Petite Annonce"
855913,https://www.signal-arnaques.com/scam/view/855913,ARNAQUE SUSPECTÉE !!!,Autres arnaques,1,03/07/2025,,mya-974,https://www.vinted.fr/member/12654501-mya974,"J’ai acheté un article sur Vinted auprès de la vendeuse L’annonce était trompeuse : l’article ne correspondait pas à sa description. Je l’ai retourné, pensant obtenir un remboursement. À ce jour, je n’ai rien reçu. Vinted ne prend pas ses responsabilités face à cette escroquerie. Acheteurs, soyez très vigilants : cette vendeuse semble pratiquer l’arnaque en toute impunité, et Vinted n’intervient pas efficacement.","🚨 ALERTE ARNAQUE SUR VINTED ! 🚨 J’ai été victime d’une arnaque de la part d’une vendeuse sur @vinted. 👎 L’article reçu ne correspondait pas du tout à sa description. 📦 Je l’ai retourné à mes frais, et je n’ai jamais été remboursé(e). ✅ Vinted n’a rien fait pour me protéger, malgré mes démarches. ❗️Attention à mya-974 fuyez cette personne ! Je déconseille désormais fortement d’acheter sur Vinted, aucune vraie protection pour les acheteurs. Partagez pour éviter d’autres victimes. #arnaque #vintedarnaque #vinted #arnaquevinted #consommateuraverti Date d'expérience : 3 juillet 2025","Vinted, Petite Annonce"
795022,https://www.signal-arnaques.com/scam/view/795022,ARNAQUE SUSPECTÉE !!!,Arnaques téléphoniques,1,07/10/2024,,,vinted.fr,"Un client me contacte sur Vinted pour des informations et me demande plus de photos concernant l'annonce, il demande à recevoir les autres photos par SMS ce que j'accepte, je lui envoie donc les photos supplémentaire ensuite comme montré dans la capture d'écran, il commence à parler de vérification, puis après son deuxième message, je reçois un message d'un 07 57 84 28 83, littéralement un numéro temporaire me disant de les contacter au plus vite pour vérifier mon identité lol.","Bref grosse arnaque afin de récupérer je pense vos comptes Vinted, attention à vous sur vinted, n'envoyez pas de message au numéro 06 73 37 33 83. D'ailleurs son compte Vinted a été banni après mon signalement, mais il peut très bien recommencer","Vinted, SMS, Petite Annonce"
696358,https://www.signal-arnaques.com/scam/view/696358,ARNAQUE SUSPECTÉE !!!,Phishing,2,02/10/2023,nroeply@flschools.org,L'équipe Support Vinted,https://aqabalad.com.do/,"Sujet : Mise à jour critique de ton profil ! Date : Mon, 2 Oct 2023 11:15:54 +0000 De : L'équipe Support nroeply@flschools.org Pour : *****@****** Bonjour, Agis rapidement ! Pour éviter toute perturbation ou bannissement de ton compte Vinted, il est essentiel de revisiter et de mettre à jour ton profil. Garantis une utilisation fluide en confirmant l'exactitude de tes détails. Aller sur mon compte Rejoins la communauté Vinted :",Usurpation Identité et Logo de Vinted pour des escroqueries et phishing de données personnelles et bancaires du compte Vinted.,"Vinted, Phishing, Petite Annonce"
54666,https://www.signal-arnaques.com/scam/view/54666,ARNAQUE SUSPECTÉE !!!,Autres arnaques,3,16/02/2017,info@vinted.fr,Vinted,vinted.fr,Bloque votre compte Vinted en vous disant que c'est parce que vous avez mis en ligne un produit contrefait (alors qu'il est authentique) et récupére l'argent de votre compte.,"Bonjour, Le 13 février mon compte Vinted sur le site Vinted.fr à été bloqué pour cause d'une mise en ligne d'un produit ""contrefait"" sauf que c'est un authentique Louis Vuitton que j'ai également mis sur Vestiaire Collective mais Vinted à décidé de s'en moquer et à bloquer... sauf que sur mon compte il y avait de l'argent ! ... Maintenant, je n'ai plus accès a mon compte et mon argent a disparu ! Il y a des tonnes de témoignages, et se font beaucoup d'argent de cette façon. Faites tourner s'il vous plaît ! Allez voir la page Facebook sa grouille de personne qui se plaigne, qui se sont fait voler ! Voici ci-joint la photo de mon sac! Ça paraît être une contrefaçon?!!!!! Bien sur que non .. vinted avait juste envie de prendre son pied avec mes sous.. et je.ne peux rien faire, ils ne repondent jamais!","Vinted, Petite Annonce"
504359,https://www.signal-arnaques.com/scam/view/504359,ARNAQUE SUSPECTÉE !!!,Phishing,1,29/05/2022,,identite.fr.www,https://www.vinted.info,Faux message sur Vinted demandant de vérifier les informations : Nom / Prénom / Date de naissance / Adresse postale / Iban / Coordonnes de carte Bancaire,J’ai reçu un message signé par « L’équipe Vinted » sur l’application qui me demandait de vérifier mes informations sous peine de voir mon compte supprimé. J’ai donc donné les informations sur le site : - https://www-vinted.info/ Et j’ai été redirigé sur les sites suivant : https://www-vinted.info/informations.php https://www-vinted.info/infoerreur.php https://www-vinted.info/idiban.php https://www-vinted.info/banque.php https://www-vinted.info/codesms.php Je me suis rendue compte que c’était une arnaque quand je ne recevais pas le sms avec le code de confirmation Date d'expérience : 29 mai 2022,"Vinted, Petite Annonce"
488196,https://www.signal-arnaques.com/scam/view/488196,ARNAQUE SUSPECTÉE !!!,Autres arnaques,4,21/04/2022,no-reply@vinted.fr,dede,,,plusieurs personne vende sur vinted mais vous envoi un autre article je l ai signle a vinted qui ne fait rien Date d'expérience : 4 juin 2022,"Vinted, Petite Annonce"
531677,https://www.signal-arnaques.com/scam/view/531677,ARNAQUE SUSPECTÉE !!!,Arnaques financières,2,09/08/2022,vinted@eudg.fun,Angélique Schneider,https://vinted-fr.transpoint.in/212427975,"On recevoir un mail vinted a demander numéro de carte bancaire pour recevoir mon payement Après on recevoir une message pour autoriser sur notre banque online un achat (200€) qui l’argent ne sera pas utilisée et qui sera bloquée pendant 3 seconds , si on autorise c’est payé pour l’arnaque",alors aujourd’hui une personne m’a envoyer une photo en me disant que Vinted voulez mon adresse e-mail donc je lui ai envoyé car je pensais que c’était vrai et après du temp après je reçois un message sur mon e-mail en me disant que j’avais besoin de mettre des choses sur ma carte numéro de carte date ect et après avoir validée il mon aussi demandé la solde de ma carte je l’ai mise et là il me disent que je dois payer 200€ j’ai vite annuler et tout les messages qu’il m’envoyer c’était qu’il fallait bien mettre les informations et tout donc voilà faut faire attention parce que vraiment je ne pensais pas qu’il y aurait ça sur vinted et donc voilà et aussi leur e-mail était vinted.fr et c’est un mail que vous n’avez pas mis sur vos informations si on se fait arnaquer Date d'expérience : 9 août 2022,"Vinted, Petite Annonce, Email"
535925,https://www.signal-arnaques.com/scam/view/535925,ARNAQUE SUSPECTÉE !!!,Phishing,1,21/08/2022,,Protection compte,,protection.comptes E environ 12 heures Confirmation requise de tes informations avant le 13 août sous peine de blocage définitif de ton compte. Suis les instructions → https://www-verification-vinted.info VL'équipe Vinted Traduire la conversation,"protection.comptes Pansement Évaluations À propos DANS Info @protection.comptes Pas encore d'évaluation Pro Tu as bloqué ce membre Le membre est bloqué dans le forum Identité de l'entreprise Paris, France vinted@inc.fr O Abonnés, O Abonnements Ce dressing est vide Abonne-toi à ce membre et tu recevras une notification quand il ajoutera un article Date d'expérience : 13 août 2022",
